NmPratoSopa;NmPratoSopaEN;NmPratoCarne;NmPratoCarneEN;NmPratoPeixe;NmPratoPeixeEN;NmPratoVegetariano;NmPratoVegetarianoEN;NmPratoSobremesa;NmPratoSobremesaEN;Observacoes;DescricaoCarne;DescricaoPeixe;DescricaoVegetariano;DescricaoEmenta;DescricaoEmentaPT;IDPratoSopaFK;IDPratoCarneFK;IDPratoPeixeFK;IDPratoVegetarianoFK;IDPratoSobremesaFK;ReservaAte;ReservasAtePenalizacaoValor;CancelamentoAte;CancelamentoAtePenalizacaoValor;Data;IDEmentaData;DataRefeicao;IDCantinaFK;IDTipoRefeicaoFK;DataRefeicaoOnly;Preco;NmCantina;IDPoloFK;NmPolo;NmTipoRefeicao;NmTipoRefeicaoEN;SopaPTEN;CarnePTEN;PeixePTEN;SobremesaPTEN;VegetarianoPTEN;ImprimePrecos
Cenoura;Carrot soup;Frango assado com arroz e batata frita;Roast chicken with rice and fries;Pescada cozida com legumes;Baked hake with vegetables;Legumes no forno com batata;Oven backed vegetables and potato;Iogurte;Yogurt;;Cenoura (Carrot soup)Frango assado com arroz e batata frita (Roast chicken with rice and fries)Iogurte (Yogurt);Cenoura (Carrot soup)Pescada cozida com legumes (Baked hake with vegetables)Iogurte (Yogurt);Cenoura (Carrot soup)Legumes no forno com batata (Oven backed vegetables and potato)Iogurte (Yogurt);Cenoura (Carrot soup)Frango assado com arroz e batata frita (Roast chicken with rice and fries)Pescada cozida com legumes (Baked hake with vegetables)Legumes no forno com batata (Oven backed vegetables and potato)Iogurte (Yogurt);Cenoura | Frango assado com arroz e batata frita | Pescada cozida com legumes | Legumes no forno com batata | Iogurte;27;108;29;94;5;18/10/2023;0,5;18/10/2023;0,5;18/10/2023;1248;18/10/2023;2;2;2023-10-18;0;Cantina 2;4;Residências;Jantar;Dinner;Cenoura | Carrot soup;Frango assado com arroz e batata frita | Roast chicken with rice and fries;Pescada cozida com legumes | Baked hake with vegetables;Iogurte | Yogurt;Legumes no forno com batata | Oven backed vegetables and potato;0
Canja;Chicken soup;Chili com arroz branco;Stewed minced meat with beans and white rice;Feijoada de chocos;Bean and cuttlefish stew;Feijoada de vegetais;Bean and vegetables stewed;Pudim;Puding;;Canja (Chicken soup)Chili com arroz branco (Stewed minced meat with beans and white rice)Pudim (Puding);Canja (Chicken soup)Feijoada de chocos (Bean and cuttlefish stew)Pudim (Puding);Canja (Chicken soup)Feijoada de vegetais (Bean and vegetables stewed)Pudim (Puding);Canja (Chicken soup)Chili com arroz branco (Stewed minced meat with beans and white rice)Feijoada de chocos (Bean and cuttlefish stew)Feijoada de vegetais (Bean and vegetables stewed)Pudim (Puding);Canja | Chili com arroz branco | Feijoada de chocos | Feijoada de vegetais | Pudim;524;546;8;9;193;19/10/2023;0,5;19/10/2023;0,5;19/10/2023;1249;19/10/2023;2;1;2023-10-19;0;Cantina 2;4;Residências;Almoço;Lunch;Canja | Chicken soup;Chili com arroz branco | Stewed minced meat with beans and white rice;Feijoada de chocos | Bean and cuttlefish stew;Pudim | Puding;Feijoada de vegetais | Bean and vegetables stewed;0
Camponesa;Peasant soup;Costeletas com molho mostarda e massa espiral;Fried cutlets with mustard sauce with spiral pasta;Carapau grelhado com molho verde;Grilled mackerel with green sauce;Massada colorida vegetariana;Vegetarian colored pasta;Fruta;Fruit;;Camponesa (Peasant soup)Costeletas com molho mostarda e massa espiral (Fried cutlets with mustard sauce with spiral pasta)Fruta (Fruit);Camponesa (Peasant soup)Carapau grelhado com molho verde (Grilled mackerel with green sauce)Fruta (Fruit);Camponesa (Peasant soup)Massada colorida vegetariana (Vegetarian colored pasta)Fruta (Fruit);Camponesa (Peasant soup)Costeletas com molho mostarda e massa espiral (Fried cutlets with mustard sauce with spiral pasta)Carapau grelhado com molho verde (Grilled mackerel with green sauce)Massada colorida vegetariana (Vegetarian colored pasta)Fruta (Fruit);Camponesa | Costeletas com molho mostarda e massa espiral | Carapau grelhado com molho verde | Massada colorida vegetariana | Fruta;247;628;179;587;15;19/10/2023;0,5;19/10/2023;0,5;19/10/2023;1250;19/10/2023;2;2;2023-10-19;0;Cantina 2;4;Residências;Jantar;Dinner;Camponesa | Peasant soup;Costeletas com molho mostarda e massa espiral | Fried cutlets with mustard sauce with spiral pasta;Carapau grelhado com molho verde | Grilled mackerel with green sauce;Fruta | Fruit;Massada colorida vegetariana | Vegetarian colored pasta;0
Espinafres;Spinach soup;;;Coroa de atum com ovos mexidos e molho de tomate;Crown of tuna with scrambled eggs and tomato sauce;Coroa de legumes com molho de tomate;Crown of vegetables and tomato sauce;Fruta;Fruit;;Espinafres (Spinach soup) ()Fruta (Fruit);Espinafres (Spinach soup)Coroa de atum com ovos mexidos e molho de tomate (Crown of tuna with scrambled eggs and tomato sauce)Fruta (Fruit);Espinafres (Spinach soup)Coroa de legumes com molho de tomate (Crown of vegetables and tomato sauce)Fruta (Fruit);Espinafres (Spinach soup) ()Coroa de atum com ovos mexidos e molho de tomate (Crown of tuna with scrambled eggs and tomato sauce)Coroa de legumes com molho de tomate (Crown of vegetables and tomato sauce)Fruta (Fruit);Espinafres |  | Coroa de atum com ovos mexidos e molho de tomate | Coroa de legumes com molho de tomate | Fruta;79;;143;14;15;20/10/2023;0,5;20/10/2023;0,5;20/10/2023;1251;20/10/2023;2;1;2023-10-20;0;Cantina 2;4;Residências;Almoço;Lunch;Espinafres | Spinach soup; | ;Coroa de atum com ovos mexidos e molho de tomate | Crown of tuna with scrambled eggs and tomato sauce;Fruta | Fruit;Coroa de legumes com molho de tomate | Crown of vegetables and tomato sauce;0
Caldo verde;Soup of shredded kale in potato broth;Entrecosto no forno com batata dourada;Spareribs in the oven with golden potatoes;;;Brás de legumes;Vegetables with onions and scramble eggs;Ovo estrelado;Peach and pineapple in syrup;;Caldo verde (Soup of shredded kale in potato broth)Entrecosto no forno com batata dourada (Spareribs in the oven with golden potatoes)Ovo estrelado (Peach and pineapple in syrup);Caldo verde (Soup of shredded kale in potato broth) ()Ovo estrelado (Peach and pineapple in syrup);Caldo verde (Soup of shredded kale in potato broth)Brás de legumes (Vegetables with onions and scramble eggs)Ovo estrelado (Peach and pineapple in syrup);Caldo verde (Soup of shredded kale in potato broth)Entrecosto no forno com batata dourada (Spareribs in the oven with golden potatoes) ()Brás de legumes (Vegetables with onions and scramble eggs)Ovo estrelado (Peach and pineapple in syrup);Caldo verde | Entrecosto no forno com batata dourada |  | Brás de legumes | Ovo estrelado;138;145;;59;10;20/10/2023;0,5;20/10/2023;0,5;20/10/2023;1252;20/10/2023;2;2;2023-10-20;0;Cantina 2;4;Residências;Jantar;Dinner;Caldo verde | Soup of shredded kale in potato broth;Entrecosto no forno com batata dourada | Spareribs in the oven with golden potatoes; | ;Ovo estrelado | Peach and pineapple in syrup;Brás de legumes | Vegetables with onions and scramble eggs;0
Feijão verde;Green beans soup;Merengó de novilho com puré;Veal stew with mashed potatoes;Salmão grelhado com molho de limão e batata;Grilled salmon with lemon sauce and potato;Legumes no forno com batata;Oven backed vegetables and potato;Fruta;Fruit;;Feijão verde (Green beans soup)Merengó de novilho com puré (Veal stew with mashed potatoes)Fruta (Fruit);Feijão verde (Green beans soup)Salmão grelhado com molho de limão e batata (Grilled salmon with lemon sauce and potato)Fruta (Fruit);Feijão verde (Green beans soup)Legumes no forno com batata (Oven backed vegetables and potato)Fruta (Fruit);Feijão verde (Green beans soup)Merengó de novilho com puré (Veal stew with mashed potatoes)Salmão grelhado com molho de limão e batata (Grilled salmon with lemon sauce and potato)Legumes no forno com batata (Oven backed vegetables and potato)Fruta (Fruit);Feijão verde | Merengó de novilho com puré | Salmão grelhado com molho de limão e batata | Legumes no forno com batata | Fruta;23;507;428;94;15;23/10/2023;0,5;23/10/2023;0,5;23/10/2023;1268;23/10/2023;2;1;2023-10-23;0;Cantina 2;4;Residências;Almoço;Lunch;Feijão verde | Green beans soup;Merengó de novilho com puré | Veal stew with mashed potatoes;Salmão grelhado com molho de limão e batata | Grilled salmon with lemon sauce and potato;Fruta | Fruit;Legumes no forno com batata | Oven backed vegetables and potato;0
Peixe;Fish soup;Costeletas ao salsicheiro com batata frita;Fried cutlets with sauce made with sausage and pickles with french fries;Meia desfeita de bacalhau com grão;Flaked codfish with boiled chickpeas and egg, parsley and black olives;Salsicha vegan com batata frita;Vegan sausage with french fries;Iogurte;Yogurt;;Peixe (Fish soup)Costeletas ao salsicheiro com batata frita (Fried cutlets with sauce made with sausage and pickles with french fries)Iogurte (Yogurt);Peixe (Fish soup)Meia desfeita de bacalhau com grão (Flaked codfish with boiled chickpeas and egg, parsley and black olives)Iogurte (Yogurt);Peixe (Fish soup)Salsicha vegan com batata frita (Vegan sausage with french fries)Iogurte (Yogurt);Peixe (Fish soup)Costeletas ao salsicheiro com batata frita (Fried cutlets with sauce made with sausage and pickles with french fries)Meia desfeita de bacalhau com grão (Flaked codfish with boiled chickpeas and egg, parsley and black olives)Salsicha vegan com batata frita (Vegan sausage with french fries)Iogurte (Yogurt);Peixe | Costeletas ao salsicheiro com batata frita | Meia desfeita de bacalhau com grão | Salsicha vegan com batata frita | Iogurte;56;470;119;602;5;24/10/2023;0,5;24/10/2023;0,5;24/10/2023;1269;24/10/2023;2;1;2023-10-24;0;Cantina 2;4;Residências;Almoço;Lunch;Peixe | Fish soup;Costeletas ao salsicheiro com batata frita | Fried cutlets with sauce made with sausage and pickles with french fries;Meia desfeita de bacalhau com grão | Flaked codfish with boiled chickpeas and egg, parsley and black olives;Iogurte | Yogurt;Salsicha vegan com batata frita | Vegan sausage with french fries;0
Alho francês;French garlic soup;Almôndegas com esparguete de manteiga;Meatballs with butter spaghetti;Pescada à rosa do adro;Hake in the oven olive oil breadcrumbs and egg;Nuggets vegetarianos;Nuggets vegetarian;Fruta;Fruit;;Alho francês (French garlic soup)Almôndegas com esparguete de manteiga (Meatballs with butter spaghetti)Fruta (Fruit);Alho francês (French garlic soup)Pescada à rosa do adro (Hake in the oven olive oil breadcrumbs and egg)Fruta (Fruit);Alho francês (French garlic soup)Nuggets vegetarianos (Nuggets vegetarian)Fruta (Fruit);Alho francês (French garlic soup)Almôndegas com esparguete de manteiga (Meatballs with butter spaghetti)Pescada à rosa do adro (Hake in the oven olive oil breadcrumbs and egg)Nuggets vegetarianos (Nuggets vegetarian)Fruta (Fruit);Alho francês | Almôndegas com esparguete de manteiga | Pescada à rosa do adro | Nuggets vegetarianos | Fruta;158;471;43;535;15;25/10/2023;0,5;25/10/2023;0,5;25/10/2023;1270;25/10/2023;2;1;2023-10-25;0;Cantina 2;4;Residências;Almoço;Lunch;Alho francês | French garlic soup;Almôndegas com esparguete de manteiga | Meatballs with butter spaghetti;Pescada à rosa do adro | Hake in the oven olive oil breadcrumbs and egg;Fruta | Fruit;Nuggets vegetarianos | Nuggets vegetarian;0
Feijão com hortaliça;Beans and vegetable soup;Febras grelhadas com arroz de ervilhas;Grilled pork steaks with pea rice;Red fish com batata assada;Red fish with roasted potato;Lentilhas estufadas;Lentils stew;Arroz doce;Sweet rice;;Feijão com hortaliça (Beans and vegetable soup)Febras grelhadas com arroz de ervilhas (Grilled pork steaks with pea rice)Arroz doce (Sweet rice);Feijão com hortaliça (Beans and vegetable soup)Red fish com batata assada (Red fish with roasted potato)Arroz doce (Sweet rice);Feijão com hortaliça (Beans and vegetable soup)Lentilhas estufadas (Lentils stew)Arroz doce (Sweet rice);Feijão com hortaliça (Beans and vegetable soup)Febras grelhadas com arroz de ervilhas (Grilled pork steaks with pea rice)Red fish com batata assada (Red fish with roasted potato)Lentilhas estufadas (Lentils stew)Arroz doce (Sweet rice);Feijão com hortaliça | Febras grelhadas com arroz de ervilhas | Red fish com batata assada | Lentilhas estufadas | Arroz doce;64;629;93;67;85;26/10/2023;0,5;26/10/2023;0,5;26/10/2023;1271;26/10/2023;2;1;2023-10-26;0;Cantina 2;4;Residências;Almoço;Lunch;Feijão com hortaliça | Beans and vegetable soup;Febras grelhadas com arroz de ervilhas | Grilled pork steaks with pea rice;Red fish com batata assada | Red fish with roasted potato;Arroz doce | Sweet rice;Lentilhas estufadas | Lentils stew;0
Nabiças;Turnips;;;Salada fria com atum;Cold salad with tuna;Salada fria de legumes;Cold salad with vegetables;Fruta;Fruit;;Nabiças (Turnips) ()Fruta (Fruit);Nabiças (Turnips)Salada fria com atum (Cold salad with tuna)Fruta (Fruit);Nabiças (Turnips)Salada fria de legumes (Cold salad with vegetables)Fruta (Fruit);Nabiças (Turnips) ()Salada fria com atum (Cold salad with tuna)Salada fria de legumes (Cold salad with vegetables)Fruta (Fruit);Nabiças |  | Salada fria com atum | Salada fria de legumes | Fruta;224;;225;382;15;27/10/2023;0,5;27/10/2023;0,5;27/10/2023;1272;27/10/2023;2;1;2023-10-27;0;Cantina 2;4;Residências;Almoço;Lunch;Nabiças | Turnips; | ;Salada fria com atum | Cold salad with tuna;Fruta | Fruit;Salada fria de legumes | Cold salad with vegetables;0
Legumes;Vegetable soup;Rissóis de carne com arroz;Meat patties with rice;Maruca com molho de natas;Ling with cream sauce;Rissóis vegetarianos;Vegetarian patties;Fruta;Fruit;;Legumes (Vegetable soup)Rissóis de carne com arroz (Meat patties with rice)Fruta (Fruit);Legumes (Vegetable soup)Maruca com molho de natas (Ling with cream sauce)Fruta (Fruit);Legumes (Vegetable soup)Rissóis vegetarianos (Vegetarian patties)Fruta (Fruit);Legumes (Vegetable soup)Rissóis de carne com arroz (Meat patties with rice)Maruca com molho de natas (Ling with cream sauce)Rissóis vegetarianos (Vegetarian patties)Fruta (Fruit);Legumes | Rissóis de carne com arroz | Maruca com molho de natas | Rissóis vegetarianos | Fruta;272;508;207;400;15;23/10/2023;0,5;23/10/2023;0,5;23/10/2023;1273;23/10/2023;2;2;2023-10-23;0;Cantina 2;4;Residências;Jantar;Dinner;Legumes | Vegetable soup;Rissóis de carne com arroz | Meat patties with rice;Maruca com molho de natas | Ling with cream sauce;Fruta | Fruit;Rissóis vegetarianos | Vegetarian patties;0
Hortaliça;Vegetables soup;Strogonoff de novilho com puré;Veal strogonoff with mashed potatoes;Feijoada de chocos;Bean and cuttlefish stew;Espirais com cogumelos;Spirals with mashrooms;Fruta;Fruit;;Hortaliça (Vegetables soup)Strogonoff de novilho com puré (Veal strogonoff with mashed potatoes)Fruta (Fruit);Hortaliça (Vegetables soup)Feijoada de chocos (Bean and cuttlefish stew)Fruta (Fruit);Hortaliça (Vegetables soup)Espirais com cogumelos (Spirals with mashrooms)Fruta (Fruit);Hortaliça (Vegetables soup)Strogonoff de novilho com puré (Veal strogonoff with mashed potatoes)Feijoada de chocos (Bean and cuttlefish stew)Espirais com cogumelos (Spirals with mashrooms)Fruta (Fruit);Hortaliça | Strogonoff de novilho com puré | Feijoada de chocos | Espirais com cogumelos | Fruta;11;567;8;620;15;24/10/2023;0,5;24/10/2023;0,5;24/10/2023;1274;24/10/2023;2;2;2023-10-24;0;Cantina 2;4;Residências;Jantar;Dinner;Hortaliça | Vegetables soup;Strogonoff de novilho com puré | Veal strogonoff with mashed potatoes;Feijoada de chocos | Bean and cuttlefish stew;Fruta | Fruit;Espirais com cogumelos | Spirals with mashrooms;0
Ovo;Egg soup;Lombo assado com arroz e batata frita;Baked pork loin with fries;Carapau grelhado com molho verde;Grilled mackerel with green sauce;Legumes no forno;Vegetables in the oven;Iogurte;Yogurt;;Ovo (Egg soup)Lombo assado com arroz e batata frita (Baked pork loin with fries)Iogurte (Yogurt);Ovo (Egg soup)Carapau grelhado com molho verde (Grilled mackerel with green sauce)Iogurte (Yogurt);Ovo (Egg soup)Legumes no forno (Vegetables in the oven)Iogurte (Yogurt);Ovo (Egg soup)Lombo assado com arroz e batata frita (Baked pork loin with fries)Carapau grelhado com molho verde (Grilled mackerel with green sauce)Legumes no forno (Vegetables in the oven)Iogurte (Yogurt);Ovo | Lombo assado com arroz e batata frita | Carapau grelhado com molho verde | Legumes no forno | Iogurte;41;171;179;70;5;25/10/2023;0,5;25/10/2023;0,5;25/10/2023;1275;25/10/2023;2;2;2023-10-25;0;Cantina 2;4;Residências;Jantar;Dinner;Ovo | Egg soup;Lombo assado com arroz e batata frita | Baked pork loin with fries;Carapau grelhado com molho verde | Grilled mackerel with green sauce;Iogurte | Yogurt;Legumes no forno | Vegetables in the oven;0
Cebola com massinhas;Onion soup with macaroni;Jardineira;Vegetable meat stew with cubed potatoes;Filetes com arroz de tomate;Fillets with tomato rice;Jardineira de legumes;Vegetable stew with cubed potatoes;Fruta;Fruit;;Cebola com massinhas (Onion soup with macaroni)Jardineira (Vegetable meat stew with cubed potatoes)Fruta (Fruit);Cebola com massinhas (Onion soup with macaroni)Filetes com arroz de tomate (Fillets with tomato rice)Fruta (Fruit);Cebola com massinhas (Onion soup with macaroni)Jardineira de legumes (Vegetable stew with cubed potatoes)Fruta (Fruit);Cebola com massinhas (Onion soup with macaroni)Jardineira (Vegetable meat stew with cubed potatoes)Filetes com arroz de tomate (Fillets with tomato rice)Jardineira de legumes (Vegetable stew with cubed potatoes)Fruta (Fruit);Cebola com massinhas | Jardineira | Filetes com arroz de tomate | Jardineira de legumes | Fruta;165;133;630;135;15;26/10/2023;0,5;26/10/2023;0,5;26/10/2023;1276;26/10/2023;2;2;2023-10-26;0;Cantina 2;4;Residências;Jantar;Dinner;Cebola com massinhas | Onion soup with macaroni;Jardineira | Vegetable meat stew with cubed potatoes;Filetes com arroz de tomate | Fillets with tomato rice;Fruta | Fruit;Jardineira de legumes | Vegetable stew with cubed potatoes;0
Grão com espinafres;Chickpeas soup with spinach;Alheira com ovo e batata frita;Bread and meat sausage with egg;;;Salsicha vegan com batata frita;Vegan sausage with french fries;Gelatina;Gelatin;;Grão com espinafres (Chickpeas soup with spinach)Alheira com ovo e batata frita (Bread and meat sausage with egg)Gelatina (Gelatin);Grão com espinafres (Chickpeas soup with spinach) ()Gelatina (Gelatin);Grão com espinafres (Chickpeas soup with spinach)Salsicha vegan com batata frita (Vegan sausage with french fries)Gelatina (Gelatin);Grão com espinafres (Chickpeas soup with spinach)Alheira com ovo e batata frita (Bread and meat sausage with egg) ()Salsicha vegan com batata frita (Vegan sausage with french fries)Gelatina (Gelatin);Grão com espinafres | Alheira com ovo e batata frita |  | Salsicha vegan com batata frita | Gelatina;19;141;;602;49;27/10/2023;0,5;27/10/2023;0,5;27/10/2023;1277;27/10/2023;2;2;2023-10-27;0;Cantina 2;4;Residências;Jantar;Dinner;Grão com espinafres | Chickpeas soup with spinach;Alheira com ovo e batata frita | Bread and meat sausage with egg; | ;Gelatina | Gelatin;Salsicha vegan com batata frita | Vegan sausage with french fries;0
Abóbora com massinhas;Pumpkin soup with small pasta;Febras grelhadas com arroz de legumes;Grilled pork steaks with rice;Salmão grelhado;Grilled salmon;Arroz de cogumelos;Mushrooms rice;Fruta;Fruit;;Abóbora com massinhas (Pumpkin soup with small pasta)Febras grelhadas com arroz de legumes (Grilled pork steaks with rice)Fruta (Fruit);Abóbora com massinhas (Pumpkin soup with small pasta)Salmão grelhado (Grilled salmon)Fruta (Fruit);Abóbora com massinhas (Pumpkin soup with small pasta)Arroz de cogumelos (Mushrooms rice)Fruta (Fruit);Abóbora com massinhas (Pumpkin soup with small pasta)Febras grelhadas com arroz de legumes (Grilled pork steaks with rice)Salmão grelhado (Grilled salmon)Arroz de cogumelos (Mushrooms rice)Fruta (Fruit);Abóbora com massinhas | Febras grelhadas com arroz de legumes | Salmão grelhado | Arroz de cogumelos | Fruta;549;159;218;411;15;30/10/2023;0,5;30/10/2023;0,5;30/10/2023;1278;30/10/2023;2;2;2023-10-30;0;Cantina 2;4;Residências;Jantar;Dinner;Abóbora com massinhas | Pumpkin soup with small pasta;Febras grelhadas com arroz de legumes | Grilled pork steaks with rice;Salmão grelhado | Grilled salmon;Fruta | Fruit;Arroz de cogumelos | Mushrooms rice;0
Alho francês;French garlic soup;Bife de peru com espirais;Turkey steak with spirals;Meia desfeita de bacalhau com grão;Flaked codfish with boiled chickpeas and egg, parsley and black olives;Massada de grão;Chickpeas pasta;Fruta;Fruit;;Alho francês (French garlic soup)Bife de peru com espirais (Turkey steak with spirals)Fruta (Fruit);Alho francês (French garlic soup)Meia desfeita de bacalhau com grão (Flaked codfish with boiled chickpeas and egg, parsley and black olives)Fruta (Fruit);Alho francês (French garlic soup)Massada de grão (Chickpeas pasta)Fruta (Fruit);Alho francês (French garlic soup)Bife de peru com espirais (Turkey steak with spirals)Meia desfeita de bacalhau com grão (Flaked codfish with boiled chickpeas and egg, parsley and black olives)Massada de grão (Chickpeas pasta)Fruta (Fruit);Alho francês | Bife de peru com espirais | Meia desfeita de bacalhau com grão | Massada de grão | Fruta;158;156;119;120;15;31/10/2023;0,5;31/10/2023;0,5;31/10/2023;1279;31/10/2023;2;2;2023-10-31;0;Cantina 2;4;Residências;Jantar;Dinner;Alho francês | French garlic soup;Bife de peru com espirais | Turkey steak with spirals;Meia desfeita de bacalhau com grão | Flaked codfish with boiled chickpeas and egg, parsley and black olives;Fruta | Fruit;Massada de grão | Chickpeas pasta;0
;;;;Feriado;Holiday;;;;;;() () ();()Feriado (Holiday) ();() () ();() ()Feriado (Holiday) () ();|  | Feriado |  | ;;;387;;;01/11/2023;0,5;01/11/2023;0,5;01/11/2023;1280;01/11/2023;2;2;2023-11-01;0;Cantina 2;4;Residências;Jantar;Dinner; | ; | ;Feriado | Holiday; | ; | ;0
Feijão verde;Green beans soup;Hambúrguer com ovo estrelado e batata frita;Burger with fried egg and chips;Pescada cozida com legumes;Baked hake with vegetables;Lentilhas estufadas;Lentils stew;Fruta;Fruit;;Feijão verde (Green beans soup)Hambúrguer com ovo estrelado e batata frita (Burger with fried egg and chips)Fruta (Fruit);Feijão verde (Green beans soup)Pescada cozida com legumes (Baked hake with vegetables)Fruta (Fruit);Feijão verde (Green beans soup)Lentilhas estufadas (Lentils stew)Fruta (Fruit);Feijão verde (Green beans soup)Hambúrguer com ovo estrelado e batata frita (Burger with fried egg and chips)Pescada cozida com legumes (Baked hake with vegetables)Lentilhas estufadas (Lentils stew)Fruta (Fruit);Feijão verde | Hambúrguer com ovo estrelado e batata frita | Pescada cozida com legumes | Lentilhas estufadas | Fruta;23;24;29;67;15;02/11/2023;0,5;02/11/2023;0,5;02/11/2023;1281;02/11/2023;2;2;2023-11-02;0;Cantina 2;4;Residências;Jantar;Dinner;Feijão verde | Green beans soup;Hambúrguer com ovo estrelado e batata frita | Burger with fried egg and chips;Pescada cozida com legumes | Baked hake with vegetables;Fruta | Fruit;Lentilhas estufadas | Lentils stew;0
Cenoura;Carrot soup;Fricassé de frango c/ esparguete;Chicken fricassé w/ spaghetti;;;Fricassé vegetariano;Vegetarian fricassé;Pudim de ovos;Egg pudding;;Cenoura (Carrot soup)Fricassé de frango c/ esparguete (Chicken fricassé w/ spaghetti)Pudim de ovos (Egg pudding);Cenoura (Carrot soup) ()Pudim de ovos (Egg pudding);Cenoura (Carrot soup)Fricassé vegetariano (Vegetarian fricassé)Pudim de ovos (Egg pudding);Cenoura (Carrot soup)Fricassé de frango c/ esparguete (Chicken fricassé w/ spaghetti) ()Fricassé vegetariano (Vegetarian fricassé)Pudim de ovos (Egg pudding);Cenoura | Fricassé de frango c/ esparguete |  | Fricassé vegetariano | Pudim de ovos;27;590;;591;488;03/11/2023;0,5;03/11/2023;0,5;03/11/2023;1282;03/11/2023;2;2;2023-11-03;0;Cantina 2;4;Residências;Jantar;Dinner;Cenoura | Carrot soup;Fricassé de frango c/ esparguete | Chicken fricassé w/ spaghetti; | ;Pudim de ovos | Egg pudding;Fricassé vegetariano | Vegetarian fricassé;0
Couve-flor;Cauliflower soup;Esparguete à bolonhesa;Spaghetti bolognese;Empadão de pescada;Hake pie;Empadão vegetariano;Vegetarian pie;Fruta;Fruit;;Couve-flor (Cauliflower soup)Esparguete à bolonhesa (Spaghetti bolognese)Fruta (Fruit);Couve-flor (Cauliflower soup)Empadão de pescada (Hake pie)Fruta (Fruit);Couve-flor (Cauliflower soup)Empadão vegetariano (Vegetarian pie)Fruta (Fruit);Couve-flor (Cauliflower soup)Esparguete à bolonhesa (Spaghetti bolognese)Empadão de pescada (Hake pie)Empadão vegetariano (Vegetarian pie)Fruta (Fruit);Couve-flor | Esparguete à bolonhesa | Empadão de pescada | Empadão vegetariano | Fruta;538;92;480;223;15;30/10/2023;0,5;30/10/2023;0,5;30/10/2023;1288;30/10/2023;2;1;2023-10-30;0;Cantina 2;4;Residências;Almoço;Lunch;Couve-flor | Cauliflower soup;Esparguete à bolonhesa | Spaghetti bolognese;Empadão de pescada | Hake pie;Fruta | Fruit;Empadão vegetariano | Vegetarian pie;0
Cenoura;Carrot soup;Arroz à valênciana;Valenciana rice;Douradinhos com arroz;Fish sticks with rice;Nuggets vegetarianos;Nuggets vegetarian;Iogurte;Yogurt;;Cenoura (Carrot soup)Arroz à valênciana (Valenciana rice)Iogurte (Yogurt);Cenoura (Carrot soup)Douradinhos com arroz (Fish sticks with rice)Iogurte (Yogurt);Cenoura (Carrot soup)Nuggets vegetarianos (Nuggets vegetarian)Iogurte (Yogurt);Cenoura (Carrot soup)Arroz à valênciana (Valenciana rice)Douradinhos com arroz (Fish sticks with rice)Nuggets vegetarianos (Nuggets vegetarian)Iogurte (Yogurt);Cenoura | Arroz à valênciana | Douradinhos com arroz | Nuggets vegetarianos | Iogurte;27;51;105;535;5;31/10/2023;0,5;31/10/2023;0,5;31/10/2023;1289;31/10/2023;2;1;2023-10-31;0;Cantina 2;4;Residências;Almoço;Lunch;Cenoura | Carrot soup;Arroz à valênciana | Valenciana rice;Douradinhos com arroz | Fish sticks with rice;Iogurte | Yogurt;Nuggets vegetarianos | Nuggets vegetarian;0
;;;;Feriado;Holiday;;;;;;() () ();()Feriado (Holiday) ();() () ();() ()Feriado (Holiday) () ();|  | Feriado |  | ;;;387;;;01/11/2023;0,5;01/11/2023;0,5;01/11/2023;1290;01/11/2023;2;1;2023-11-01;0;Cantina 2;4;Residências;Almoço;Lunch; | ; | ;Feriado | Holiday; | ; | ;0
Caldo verde;Soup of shredded kale in potato broth;Bife de novilho com molho pimenta e arroz;Veal steak with pepper sauce and rice;Abrótea estufada com batata cozida;Stewed whiting with boiled potatos;Estufado de soja;Soybean stew;Danette;Vanilla pudding;;Caldo verde (Soup of shredded kale in potato broth)Bife de novilho com molho pimenta e arroz (Veal steak with pepper sauce and rice)Danette (Vanilla pudding);Caldo verde (Soup of shredded kale in potato broth)Abrótea estufada com batata cozida (Stewed whiting with boiled potatos)Danette (Vanilla pudding);Caldo verde (Soup of shredded kale in potato broth)Estufado de soja (Soybean stew)Danette (Vanilla pudding);Caldo verde (Soup of shredded kale in potato broth)Bife de novilho com molho pimenta e arroz (Veal steak with pepper sauce and rice)Abrótea estufada com batata cozida (Stewed whiting with boiled potatos)Estufado de soja (Soybean stew)Danette (Vanilla pudding);Caldo verde | Bife de novilho com molho pimenta e arroz | Abrótea estufada com batata cozida | Estufado de soja | Danette;138;600;380;4;506;02/11/2023;0,5;02/11/2023;0,5;02/11/2023;1291;02/11/2023;2;1;2023-11-02;0;Cantina 2;4;Residências;Almoço;Lunch;Caldo verde | Soup of shredded kale in potato broth;Bife de novilho com molho pimenta e arroz | Veal steak with pepper sauce and rice;Abrótea estufada com batata cozida | Stewed whiting with boiled potatos;Danette | Vanilla pudding;Estufado de soja | Soybean stew;0
